ids,location,artist,class
3322,adam-baltatu_still-life-with-apples-and-pipkin.jpg,adam-baltatu,2
3295,adam-baltatu_the-lesson.jpg,adam-baltatu,2
8442,adam-baltatu_summer-sky.jpg,adam-baltatu,2
40,adam-baltatu_sighi-oara.jpg,adam-baltatu,2
5034,adam-baltatu_house-on-siret-valley.jpg,adam-baltatu,2
6235,adam-baltatu_autumn-still-life.jpg,adam-baltatu,2
8284,adam-baltatu_pipkin-with-flowers.jpg,adam-baltatu,2
3359,adam-baltatu_birch-woods.jpg,adam-baltatu,2
2050,adam-baltatu_winter-landscape.jpg,adam-baltatu,2
6943,adam-baltatu_summer-landscape-2.jpg,adam-baltatu,2
543,adam-baltatu_noon-at-br-ne-ti.jpg,adam-baltatu,2
5654,adam-baltatu_houses-at-the-edge-of-the-forest.jpg,adam-baltatu,2
698,adam-baltatu_pipkin-with-chrysanthemums.jpg,adam-baltatu,2
5379,adam-baltatu_fishing-preparations.jpg,adam-baltatu,2
246,adam-baltatu_still-life-with-pipe-and-books.jpg,adam-baltatu,2
2126,adam-baltatu_subret.jpg,adam-baltatu,2
9544,adam-baltatu_houses-in-provence.jpg,adam-baltatu,2
3884,adam-baltatu_after-rain.jpg,adam-baltatu,2
1572,adam-baltatu_after-bath.jpg,adam-baltatu,2
4474,adam-baltatu_fruitage.jpg,adam-baltatu,2
6019,adam-baltatu_red-roofs.jpg,adam-baltatu,2
9340,adam-baltatu_meridional-landscape.jpg,adam-baltatu,2
6702,adam-baltatu_summer-landscape.jpg,adam-baltatu,2
2300,adam-baltatu_houses-in-hu-i.jpg,adam-baltatu,2
29,adam-baltatu_ia-i-outskirts-houses.jpg,adam-baltatu,2
2241,adam-baltatu_view-towards-san-giorgio-venice.jpg,adam-baltatu,2
5701,adam-baltatu_village-alley.jpg,adam-baltatu,2
7738,adam-baltatu_houses-in-bretania-1.jpg,adam-baltatu,2
977,adam-baltatu_street-in-hu-i.jpg,adam-baltatu,2
6049,adam-baltatu_cup-with-geraniums.jpg,adam-baltatu,2
1824,adam-baltatu_houses-in-ha-i.jpg,adam-baltatu,2
930,adam-baltatu_still-life-with-vegetables.jpg,adam-baltatu,2
2839,adam-baltatu_grange.jpg,adam-baltatu,2
2836,adam-baltatu_dobrujan-landscape.jpg,adam-baltatu,2
4906,adam-baltatu_still-life-with-green-apples.jpg,adam-baltatu,2
3092,adam-baltatu_landscape-with-houses.jpg,adam-baltatu,2
6566,adam-baltatu_view-towards-balcic.jpg,adam-baltatu,2
3099,adam-baltatu_houses-in-hu-i-1.jpg,adam-baltatu,2
5706,adam-baltatu_br-ne-ti-landscape.jpg,adam-baltatu,2
1746,adam-baltatu_houses-in-bretania.jpg,adam-baltatu,2
224,alfred-sisley_langland-bay-storr-s-rock-morning-1897.jpg,alfred-sisley,5
168,alfred-sisley_the-plain-of-veneux-view-of-sablons-1884.jpg,alfred-sisley,5
851,alfred-sisley_countryside-near-moret-1885.jpg,alfred-sisley,5
629,alfred-sisley_saint-mammes-loing-canal-1885.jpg,alfred-sisley,5
874,alfred-sisley_village-of-champagne-at-sunset-april-1885.jpg,alfred-sisley,5
959,alfred-sisley_valley-of-the-seine-at-saint-cloud-1875.jpg,alfred-sisley,5
651,alfred-sisley_barges-on-the-loing-canal-spring-1896.jpg,alfred-sisley,5
669,alfred-sisley_barges-at-billancourt-1877.jpg,alfred-sisley,5
180,alfred-sisley_saint-mammes-in-winter.jpg,alfred-sisley,5
799,alfred-sisley_the-road-from-prunay-to-bougival-1874.jpg,alfred-sisley,5
249,alfred-sisley_a-road-in-seine-et-marne-1875.jpg,alfred-sisley,5
380,alfred-sisley_a-ponte.jpg,alfred-sisley,5
131,alfred-sisley_pont-de-moret-sur-loing.jpg,alfred-sisley,5
119,alfred-sisley_the-watering-place-at-marly-le-roi-hoarfrost-1875.jpg,alfred-sisley,5
927,alfred-sisley_houses-on-the-banks-of-the-loing-1889.jpg,alfred-sisley,5
865,alfred-sisley_high-waters-at-moret-sur-loing-1879.jpg,alfred-sisley,5
185,alfred-sisley_the-moret-bridge-in-the-sunlight-1892.jpg,alfred-sisley,5
142,alfred-sisley_banks-of-the-loing-near-moret-1890.jpg,alfred-sisley,5
238,alfred-sisley_the-path-from-veneux-to-thomery-along-the-water-evening-1880.jpg,alfred-sisley,5
1086,alfred-sisley_rowers-1877.jpg,alfred-sisley,5
112,alfred-sisley_spring-sunshine-on-the-loing-1892.jpg,alfred-sisley,5
182,alfred-sisley_view-of-saint-mammes-1881.jpg,alfred-sisley,5
688,alfred-sisley_saint-mammes-evening-1885.jpg,alfred-sisley,5
